1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
1730, desert, terralith:desert_spires, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1731, desert, terralith:desert_spires, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
1732, desert, terralith:desert_spires, MONSTER, endermanoverhaul:desert_enderman, 10, 1, 4
1733, desert, terralith:desert_spires, MONSTER, tconstruct:earth_slime, 80, 2, 4
1734, desert, terralith:desert_spires, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1735, desert, terralith:desert_spires, MONSTER, tconstruct:sky_slime, 80, 2, 4
1736, desert, terralith:desert_spires, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1737, desert, terralith:desert_spires, CREATURE, minecraft:rabbit, 5, 2, 3
1738, desert, terralith:desert_spires, CREATURE, naturalist:bluejay, 8, 1, 4
1739, desert, terralith:desert_spires, CREATURE, naturalist:canary, 8, 1, 4
1740, desert, terralith:desert_spires, CREATURE, naturalist:cardinal, 8, 1, 4
1741, desert, terralith:desert_spires, CREATURE, distantfriends:friend, 20, 1, 2
1742, desert, terralith:desert_spires, CREATURE, naturalist:lizard, 15, 1, 2
1743, desert, terralith:desert_spires, CREATURE, friendsandfoes:mauler, 8, 1, 1
1744, desert, terralith:desert_spires, CREATURE, naturalist:rattlesnake, 5, 1, 1
1745, desert, terralith:desert_spires, CREATURE, naturalist:robin, 8, 1, 4
1746, desert, terralith:desert_spires, CREATURE, naturalist:snail, 5, 1, 3
1747, desert, terralith:desert_spires, CREATURE, naturalist:tortoise, 6, 1, 3
1748, desert, terralith:desert_spires, CREATURE, naturalist:vulture, 15, 2, 4
1749, desert, terralith:desert_spires, AMBIENT, minecraft:bat, 10, 8, 8
1750, desert, terralith:desert_spires, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1751, desert, terralith:desert_spires, WATER_AMBIENT, tide:bass, 10, 2, 3
1752, desert, terralith:desert_spires, WATER_AMBIENT, tide:bluegill, 10, 2, 3
1753, desert, terralith:desert_spires, WATER_AMBIENT, tide:guppy, 10, 2, 4
1754, desert, terralith:desert_spires, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
1755, desert, terralith:desert_spires, WATER_AMBIENT, tide:pike, 8, 2, 2
1756, desert, terralith:desert_spires, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
1757, desert, terralith:desert_spires, RASCALS, friendsandfoes:rascal, 5, 1, 1
1758, private, betterend:dragon_graveyards, MONSTER, minecraft:enderman, 50, 1, 2
1759, private, betterend:dragon_graveyards, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1760, private, betterend:dragon_graveyards, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1761, private, betterend:dragon_graveyards, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1762, private, betterend:dragon_graveyards, MONSTER, tconstruct:ender_slime, 10, 2, 4
1763, private, spectrum:dragonrot_swamp, MONSTER, spectrum:eraser, 50, 4, 8
1764, private, spectrum:dragonrot_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
1765, private, spectrum:dragonrot_swamp, MONSTER, minecraft:creeper, 80, 4, 4
1766, private, spectrum:dragonrot_swamp, MONSTER, minecraft:drowned, 80, 4, 8
1767, private, spectrum:dragonrot_swamp, MONSTER, minecraft:spider, 10, 4, 4
1768, private, spectrum:dragonrot_swamp, MONSTER, minecraft:phantom, 5, 1, 2
1769, private, spectrum:dragonrot_swamp, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1770, private, spectrum:dragonrot_swamp, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1771, private, spectrum:dragonrot_swamp, AMBIENT, minecraft:bat, 10, 8, 8
1772, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
1773, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
1774, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
1775, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
1776, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
1777, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
1778, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
1779, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1780, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1781, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1782, private, minecraft:dripstone_caves, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
1783, private, minecraft:dripstone_caves, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1784, private, minecraft:dripstone_caves, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
1785, private, minecraft:dripstone_caves, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1786, private, minecraft:dripstone_caves, MONSTER, creeperoverhaul:dripstone_creeper, 75, 2, 2
1787, private, minecraft:dripstone_caves, MONSTER, tconstruct:earth_slime, 80, 2, 4
1788, private, minecraft:dripstone_caves, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1789, private, minecraft:dripstone_caves, MONSTER, tconstruct:sky_slime, 80, 2, 4
1790, private, minecraft:dripstone_caves, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1791, private, minecraft:dripstone_caves, CREATURE, distantfriends:friend, 20, 1, 2
1792, private, minecraft:dripstone_caves, CREATURE, naturalist:snail, 5, 1, 3
1793, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
1794, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1795, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:bass, 10, 2, 3
1796, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:bluegill, 10, 2, 3
1797, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:catfish, 8, 2, 2
1798, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
1799, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:pike, 8, 2, 2
1800, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:trout, 10, 2, 3
1801, private, minecraft:dripstone_caves, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
1802, private, minecraft:dripstone_caves, RASCALS, friendsandfoes:rascal, 5, 1, 1
1803, private, betterend:dry_shrubland, MONSTER, minecraft:enderman, 50, 1, 2
1804, private, betterend:dry_shrubland, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1805, private, betterend:dry_shrubland, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1806, private, betterend:dry_shrubland, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1807, private, betterend:dry_shrubland, MONSTER, tconstruct:ender_slime, 10, 2, 4
1808, private, betterend:dust_wastelands, MONSTER, minecraft:enderman, 50, 1, 2
1809, private, betterend:dust_wastelands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1810, private, betterend:dust_wastelands, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1811, private, betterend:dust_wastelands, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1812, private, betterend:dust_wastelands, MONSTER, tconstruct:ender_slime, 10, 2, 4
1813, private, deeperdarker:echoing_forest, MONSTER, deeperdarker:sculk_snapper, 9, 1, 2
1814, private, deeperdarker:echoing_forest, MONSTER, deeperdarker:shattered, 17, 2, 5
1815, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:spider, 80, 4, 4
1816, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:zombie, 80, 4, 4
1817, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:zombie_villager, 5, 1, 1
1818, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:skeleton, 80, 4, 4
1819, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:slime, 80, 4, 4
1820, extreme_hills, terralith:emerald_peaks, MONSTER, minecraft:witch, 5, 1, 1
1821, extreme_hills, terralith:emerald_peaks, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1822, extreme_hills, terralith:emerald_peaks, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1823, extreme_hills, terralith:emerald_peaks, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1824, extreme_hills, terralith:emerald_peaks, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
1825, extreme_hills, terralith:emerald_peaks, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1826, extreme_hills, terralith:emerald_peaks, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1827, extreme_hills, terralith:emerald_peaks, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
1828, extreme_hills, terralith:emerald_peaks, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1829, extreme_hills, terralith:emerald_peaks, MONSTER, tconstruct:earth_slime, 80, 2, 4
1830, extreme_hills, terralith:emerald_peaks, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1831, extreme_hills, terralith:emerald_peaks, MONSTER, tconstruct:sky_slime, 80, 2, 4
1832, extreme_hills, terralith:emerald_peaks, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
1833, extreme_hills, terralith:emerald_peaks, MONSTER, endermanoverhaul:snowy_enderman, 10, 1, 4
1834, extreme_hills, terralith:emerald_peaks, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1835, extreme_hills, terralith:emerald_peaks, CREATURE, naturalist:bluejay, 8, 1, 4
1836, extreme_hills, terralith:emerald_peaks, CREATURE, naturalist:canary, 8, 1, 4
1837, extreme_hills, terralith:emerald_peaks, CREATURE, distantfriends:friend, 20, 1, 2
1838, extreme_hills, terralith:emerald_peaks, CREATURE, naturalist:robin, 8, 1, 4
1839, extreme_hills, terralith:emerald_peaks, CREATURE, naturalist:snail, 5, 1, 3
1840, extreme_hills, terralith:emerald_peaks, AMBIENT, minecraft:bat, 10, 8, 8
1841, extreme_hills, terralith:emerald_peaks, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1842, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:bluegill, 10, 2, 3
1843, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:catfish, 8, 2, 2
1844, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:clayfish, 6, 1, 2
1845, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:pike, 8, 2, 2
1846, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:trout, 10, 2, 3
1847, extreme_hills, terralith:emerald_peaks, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
1848, extreme_hills, terralith:emerald_peaks, RASCALS, friendsandfoes:rascal, 5, 1, 1
1849, private, betterend:empty_aurora_cave, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1850, private, betterend:empty_end_cave, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1851, private, betterend:empty_smaragdant_cave, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1852, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
1853, private, minecraft:end_barrens, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1854, private, minecraft:end_barrens, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1855, private, minecraft:end_barrens, MONSTER, tconstruct:ender_slime, 10, 2, 4
1856, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
1857, private, minecraft:end_highlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1858, private, minecraft:end_highlands, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1859, private, minecraft:end_highlands, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1860, private, minecraft:end_highlands, MONSTER, tconstruct:ender_slime, 10, 2, 4
1861, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
1862, private, minecraft:end_midlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1863, private, minecraft:end_midlands, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1864, private, minecraft:end_midlands, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1865, private, minecraft:end_midlands, MONSTER, tconstruct:ender_slime, 10, 2, 4
1866, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
1867, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 80, 4, 4
1868, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
1869, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
1870, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
1871, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
1872, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:badlands_creeper, 75, 2, 2
1873, badlands, minecraft:eroded_badlands, MONSTER, endermanoverhaul:badlands_enderman, 10, 1, 4
1874, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1875, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1876, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1877, badlands, minecraft:eroded_badlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
1878, badlands, minecraft:eroded_badlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1879, badlands, minecraft:eroded_badlands, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
1880, badlands, minecraft:eroded_badlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1881, badlands, minecraft:eroded_badlands, MONSTER, tconstruct:earth_slime, 80, 2, 4
1882, badlands, minecraft:eroded_badlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1883, badlands, minecraft:eroded_badlands, MONSTER, tconstruct:sky_slime, 80, 2, 4
1884, badlands, minecraft:eroded_badlands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1885, badlands, minecraft:eroded_badlands, CREATURE, distantfriends:friend, 20, 1, 2
1886, badlands, minecraft:eroded_badlands, CREATURE, friendsandfoes:mauler, 16, 1, 1
1887, badlands, minecraft:eroded_badlands, CREATURE, naturalist:rattlesnake, 5, 1, 1
1888, badlands, minecraft:eroded_badlands, CREATURE, naturalist:vulture, 15, 2, 4
1889, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
1890, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1891, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:bass, 10, 2, 3
1892, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:bluegill, 10, 2, 3
1893, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:guppy, 10, 2, 4
1894, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
1895, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:pike, 8, 2, 2
1896, badlands, minecraft:eroded_badlands, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
1897, badlands, minecraft:eroded_badlands, RASCALS, friendsandfoes:rascal, 5, 1, 1
1898, nether, betternether:flooded_deltas, MONSTER, minecraft:ghast, 50, 4, 4
1899, nether, betternether:flooded_deltas, MONSTER, minecraft:zombified_piglin, 80, 4, 4
1900, nether, betternether:flooded_deltas, MONSTER, minecraft:magma_cube, 5, 4, 4
1901, nether, betternether:flooded_deltas, MONSTER, betternether:skull, 5, 2, 4
1902, nether, betternether:flooded_deltas, MONSTER, minecraft:enderman, 5, 4, 4
1903, nether, betternether:flooded_deltas, MONSTER, minecraft:piglin, 15, 4, 4
1904, nether, betternether:flooded_deltas, MONSTER, minecraft:hoglin, 5, 1, 2
1905, nether, betternether:flooded_deltas, MONSTER, betternether:naga, 8, 3, 5
1906, nether, betternether:flooded_deltas, MONSTER, betternether:jungle_skeleton, 5, 2, 4
1907, nether, betternether:flooded_deltas, MONSTER, minecraft:piglin_brute, 5, 1, 1
1908, nether, betternether:flooded_deltas, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1909, nether, betternether:flooded_deltas, MONSTER, majruszsdifficulty:cerberus, 5, 1, 1
1910, nether, betternether:flooded_deltas, CREATURE, minecraft:strider, 60, 1, 2
1911, nether, betternether:flooded_deltas, AMBIENT, betternether:firefly, 5, 1, 3
1912, nether, betternether:flooded_deltas, AMBIENT, betternether:hydrogen_jellyfish, 5, 2, 6
1913, nether, betternether:flooded_deltas, AMBIENT, betternether:flying_pig, 5, 2, 4
1914, private, the_bumblezone:floral_meadow, MONSTER, minecraft:slime, 20, 1, 1
1915, private, the_bumblezone:floral_meadow, MONSTER, the_bumblezone:rootmin, 5, 1, 1
1916, private, the_bumblezone:floral_meadow, MONSTER, minecraft:enderman, 5, 1, 1
1917, private, the_bumblezone:floral_meadow, MONSTER, minecraft:phantom, 5, 1, 1
1918, private, the_bumblezone:floral_meadow, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1919, private, the_bumblezone:floral_meadow, CREATURE, minecraft:bee, 50, 4, 8
1920, private, the_bumblezone:floral_meadow, CREATURE, the_bumblezone:honey_slime, 5, 1, 3
1921, private, the_bumblezone:floral_meadow, CREATURE, the_bumblezone:beehemoth, 15, 1, 1
1922, private, the_bumblezone:floral_meadow, CREATURE, the_bumblezone:variant_bee, 15, 1, 2
1923, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
1924, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
1925, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
1926, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
1927, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
1928, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
1929, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
1930, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1931, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1932, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1933, forest, minecraft:flower_forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
1934, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
1935, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1936, forest, minecraft:flower_forest, MONSTER, tconstruct:earth_slime, 80, 2, 4
1937, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:flower_fields_enderman, 5, 1, 2
1938, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1939, forest, minecraft:flower_forest, MONSTER, tconstruct:sky_slime, 80, 2, 4
1940, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1941, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
1942, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
1943, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
1944, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
1945, forest, minecraft:flower_forest, CREATURE, naturalist:bear, 8, 1, 2
1946, forest, minecraft:flower_forest, CREATURE, naturalist:boar, 15, 4, 4
1947, forest, minecraft:flower_forest, CREATURE, naturalist:butterfly, 20, 3, 5
1948, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal, 8, 1, 4
1949, forest, minecraft:flower_forest, CREATURE, naturalist:deer, 8, 1, 3
1950, forest, minecraft:flower_forest, CREATURE, naturalist:finch, 8, 1, 4
1951, forest, minecraft:flower_forest, CREATURE, minecraft:fox, 6, 2, 4
1952, forest, minecraft:flower_forest, CREATURE, distantfriends:friend, 20, 1, 2
1953, forest, minecraft:flower_forest, CREATURE, naturalist:lizard, 15, 1, 2
1954, forest, minecraft:flower_forest, CREATURE, friendsandfoes:moobloom, 5, 2, 4
1955, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 6, 2, 3
1956, forest, minecraft:flower_forest, CREATURE, naturalist:robin, 8, 1, 4
1957, forest, minecraft:flower_forest, CREATURE, naturalist:snail, 5, 1, 3
1958, forest, minecraft:flower_forest, CREATURE, naturalist:snake, 5, 1, 1
1959, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
1960, forest, minecraft:flower_forest, AMBIENT, naturalist:firefly, 80, 2, 3
1961, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1962, forest, minecraft:flower_forest, WATER_AMBIENT, tide:bass, 10, 2, 3
1963, forest, minecraft:flower_forest, WATER_AMBIENT, tide:bluegill, 10, 2, 3
1964, forest, minecraft:flower_forest, WATER_AMBIENT, tide:catfish, 8, 2, 2
1965, forest, minecraft:flower_forest, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
1966, forest, minecraft:flower_forest, WATER_AMBIENT, tide:pike, 8, 2, 2
1967, forest, minecraft:flower_forest, WATER_AMBIENT, tide:trout, 10, 2, 3
1968, forest, minecraft:flower_forest, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
1969, forest, minecraft:flower_forest, RASCALS, friendsandfoes:rascal, 5, 1, 1
1970, private, betterend:foggy_mushroomland, MONSTER, betterend:end_slime, 10, 1, 2
1971, private, betterend:foggy_mushroomland, MONSTER, minecraft:enderman, 10, 1, 2
1972, private, betterend:foggy_mushroomland, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1973, private, betterend:foggy_mushroomland, MONSTER, endermanoverhaul:end_enderman, 5, 1, 2
1974, private, betterend:foggy_mushroomland, MONSTER, endermanoverhaul:end_islands_enderman, 5, 1, 1
1975, private, betterend:foggy_mushroomland, MONSTER, tconstruct:ender_slime, 10, 2, 4
1976, private, betterend:foggy_mushroomland, AMBIENT, betterend:dragonfly, 80, 2, 5
1977, private, betterend:foggy_mushroomland, WATER_AMBIENT, betterend:end_fish, 20, 2, 5
1978, private, betterend:foggy_mushroomland, WATER_AMBIENT, betterend:cubozoa, 10, 3, 8
1979, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
1980, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
1981, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
1982, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
1983, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
1984, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
1985, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
1986, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
1987, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
1988, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
1989, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
1990, forest, minecraft:forest, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
1991, forest, minecraft:forest, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
1992, forest, minecraft:forest, MONSTER, tconstruct:earth_slime, 80, 2, 4
1993, forest, minecraft:forest, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
1994, forest, minecraft:forest, MONSTER, tconstruct:sky_slime, 80, 2, 4
1995, forest, minecraft:forest, MONSTER, majruszsdifficulty:tank, 5, 1, 1
1996, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
1997, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
1998, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
1999, forest, minecraft:forest, CREATURE, minecraft:wolf, 8, 4, 4
2000, forest, minecraft:forest, CREATURE, naturalist:bear, 8, 1, 2
2001, forest, minecraft:forest, CREATURE, naturalist:boar, 15, 4, 4
2002, forest, minecraft:forest, CREATURE, naturalist:butterfly, 20, 3, 5
2003, forest, minecraft:forest, CREATURE, naturalist:cardinal, 8, 1, 4
2004, forest, minecraft:forest, CREATURE, naturalist:deer, 8, 1, 3
2005, forest, minecraft:forest, CREATURE, naturalist:finch, 8, 1, 4
2006, forest, minecraft:forest, CREATURE, minecraft:fox, 6, 2, 4
2007, forest, minecraft:forest, CREATURE, distantfriends:friend, 20, 1, 2
2008, forest, minecraft:forest, CREATURE, naturalist:lizard, 15, 1, 2
2009, forest, minecraft:forest, CREATURE, minecraft:rabbit, 6, 2, 3
2010, forest, minecraft:forest, CREATURE, naturalist:robin, 8, 1, 4
2011, forest, minecraft:forest, CREATURE, naturalist:snail, 5, 1, 3
2012, forest, minecraft:forest, CREATURE, naturalist:snake, 5, 1, 1
2013, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
2014, forest, minecraft:forest, AMBIENT, naturalist:firefly, 80, 2, 3
2015, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
2016, forest, minecraft:forest, WATER_AMBIENT, tide:bass, 10, 2, 3
2017, forest, minecraft:forest, WATER_AMBIENT, tide:bluegill, 10, 2, 3
2018, forest, minecraft:forest, WATER_AMBIENT, tide:catfish, 8, 2, 2
2019, forest, minecraft:forest, WATER_AMBIENT, tide:mint_carp, 10, 2, 3
2020, forest, minecraft:forest, WATER_AMBIENT, tide:pike, 8, 2, 2
2021, forest, minecraft:forest, WATER_AMBIENT, tide:trout, 10, 2, 3
2022, forest, minecraft:forest, WATER_AMBIENT, tide:yellow_perch, 10, 2, 3
2023, forest, minecraft:forest, RASCALS, friendsandfoes:rascal, 5, 1, 1
2024, forest, terralith:forested_highlands, MONSTER, minecraft:spider, 80, 4, 4
2025, forest, terralith:forested_highlands, MONSTER, minecraft:zombie, 80, 4, 4
2026, forest, terralith:forested_highlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
2027, forest, terralith:forested_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
2028, forest, terralith:forested_highlands, MONSTER, minecraft:slime, 80, 4, 4
2029, forest, terralith:forested_highlands, MONSTER, minecraft:enderman, 10, 1, 4
2030, forest, terralith:forested_highlands, MONSTER, minecraft:witch, 5, 1, 1
2031, forest, terralith:forested_highlands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
2032, forest, terralith:forested_highlands, MONSTER, mutantmonsters:mutant_enderman, 5, 1, 1
2033, forest, terralith:forested_highlands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
2034, forest, terralith:forested_highlands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
2035, forest, terralith:forested_highlands, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
2036, forest, terralith:forested_highlands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
2037, forest, terralith:forested_highlands, MONSTER, tconstruct:earth_slime, 80, 2, 4
2038, forest, terralith:forested_highlands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
2039, forest, terralith:forested_highlands, MONSTER, tconstruct:sky_slime, 80, 2, 4
